upc (ean),price,OriginalPrice,availability,sku,title
1.94896E+11,64.5,215,1,1139644,Columbia Payton Pass Insulated Jacket - Women's Marionberry S
1.94896E+11,64.5,215,1,1139645,Columbia Payton Pass Insulated Jacket - Women's Marionberry M
1.9266E+11,57,190,0,1128760,Columbia Powder Lite Hooded Jacket - Women's Black S
1.93855E+11,48,160,1,1128763,Columbia Powder Lite Hooded Jacket - Women's Black Traditional Camo Print S
1.94896E+11,57,190,1,1128767,Columbia Powder Lite Hooded Jacket - Women's Nocturnal Aurelian Print S
1.93855E+11,48,160,2,1128770,Columbia Powder Lite Hooded Jacket - Women's Olive Green Traditional Camo XS
1.94896E+11,57,190,2,1244397,Columbia Powder Lite Hooded Jacket - Women's Dark Coral S
1.92291E+11,25.5,85,1,1132259,Columbia Winter Pass Sherpa Full Zip Jacket - Women's Black Cherry S
1.92291E+11,25.5,85,1,1132262,Columbia Winter Pass Sherpa Full Zip Jacket - Women's Black Cherry XS
1.92291E+11,25.5,85,1,1132266,Columbia Winter Pass Sherpa Full Zip Jacket - Women's Dark Nocturnal XS
8.89761E+11,23.7,79,0,903759,prAna Sol Protect Hoodie - Women's Black S
8.89761E+11,23.7,79,0,903760,prAna Sol Protect Hoodie - Women's Black M
8.89761E+11,23.7,79,1,903761,prAna Sol Protect Hoodie - Women's Black L
1.95964E+11,23.7,79,2,1039889,prAna Sol Protect Hoodie - Women's Heather Grey M
1.94895E+11,54,180,1,1138643,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Dark Coral M
1.94895E+11,54,180,1,1138644,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Dark Coral XXL
1.94895E+11,54,180,1,1138645,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Dark Coral L
1.94895E+11,54,180,4,1138646,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Dark Coral XL
1.94894E+11,54,180,0,1138649,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Black XL
1.94894E+11,54,180,0,1138651,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Black L
